imagepath,label,dataset
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard100.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard1.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard101.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard10.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard103.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard102.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard104.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard105.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard106.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard107.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard109.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard108.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard11.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard110.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard111.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard112.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard113.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard114.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard115.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard116.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard117.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard118.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard119.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard12.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard120.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard121.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard122.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard123.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard124.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard125.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard126.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard127.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard128.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard129.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard13.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard130.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard131.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard132.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard133.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard134.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard135.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard136.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard137.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard138.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard139.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard14.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard140.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard141.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard142.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard143.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard144.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard145.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard146.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard147.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard148.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard149.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard15.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard150.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard152.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard151.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard153.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard154.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard155.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard156.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard157.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard158.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard159.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard16.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard160.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard161.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard162.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard163.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard164.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard165.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard166.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard167.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard168.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard169.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard17.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard170.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard171.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard172.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard173.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard174.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard175.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard176.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard177.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard178.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard179.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard18.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard180.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard181.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard182.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard183.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard184.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard185.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard186.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard187.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard188.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard189.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard19.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard190.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard191.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard192.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard193.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard194.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard195.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard196.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard197.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard198.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard199.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard2.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard20.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard200.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard201.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard202.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard203.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard204.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard205.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard206.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard207.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard208.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard209.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard21.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard210.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard211.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard212.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard213.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard214.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard215.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard216.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard217.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard218.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard219.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard22.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard220.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard221.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard222.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard223.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard224.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard225.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard226.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard227.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard228.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard229.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard23.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard230.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard231.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard232.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard233.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard234.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard235.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard236.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard237.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard238.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard239.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard24.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard240.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard241.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard242.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard243.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard244.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard245.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard246.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard247.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard248.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard249.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard25.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard250.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard251.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard252.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard253.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard254.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard255.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard256.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard257.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard258.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard259.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard26.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard260.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard261.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard262.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard263.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard264.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard265.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard266.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard267.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard268.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard269.jpg,cardboard,test
/content/drive/Shareddrives/yeja/Garbage classification/cardboard/cardboard27.jpg,cardboard,test
